id;key;value
1;Checking Account Borders New Hampshire;yellow Mississippi deposit
2;asymmetric Summit Extended;success distributed
3;Mouse enable platforms;back up
4;Chicken invoice;olive portal
5;Health Berkshire Tasty Steel Keyboard;virtual gold
6;Operations Practical Wooden Towels Nakfa;Metrics invoice Cotton
7;compressing card Checking Account;overriding plug-and-play salmon
8;synergize withdrawal invoice;International
9;Lebanese Pound Markets;copying driver
10;Intelligent Frozen Bike;Peso Uruguayo Uruguay Peso en Unidades Indexadas
